"id","title","authors","venue","year"
"sgdwuYrI4MgJ","witt, D., Dittrich, K., Maier, D., Zonick, S. The object-oriented database system manifesto","MP Atkinson, F Banchihon","Proceedings of ACM SIGMOD Conference (Atlantic City,",
"vMIhYKkFpfsJ","Trees, automata and XML","T Schwentick","&hellip;  of the twenty-third ACM SIGMOD-SIGACT-SIGART symposium on  &hellip;,",2004
"XoAq4UeVQQUJ","Readying Welfare Recipients for Work: Lessons from Four Big Cities as They Implement Welfare Reform","T Brock, LC Nelson, M Reiter",,
"0ZXZVWpZNmkJ","XQuery: A Query Language for XML, W3C Working Draft, 15 February 2001","D Chamberlin",,
"zFNBK40YDJ4J","Cave6D: A Tool for Collaborative, Interactive Immersive Visualization of Environmental Data","A Kapoor, J Leigh, G Wheless, C Lascara, AE  ","Proc. ACM CVEâ??00,",
"WJDiW8pl0OcJ","Adaptive selectivity estimation using query feedback. In 1. T. Snodgrass and M. Winslett, editors","CM Chen, N Ronssopoulos","Proceedings of the 1994 ACM SIGMOD International Conference ",
"SQ-G-IKtM9cJ","Methodology for Development and Employment of Ontology based Knowledge Management Applications in  ","S Staab","SIGMOD Record, No,",
"gs3RcCAyi9kJ","A simulation study of optical burst switching and access protocols for WDM ring networks","L Xu, HG Perros, GN Rouskas","Computer Networks,",2003
"NTb_qM3uslMJ","â??The effect of Solar Activity on the cosmic ray intensity at solar minimumâ??","MA Shea, DF Smart","Proc. 21st Intâ??l. Cosmic Ray Conf,",1990
"ydVv-aqG1F0J","How Cultural Differences Affect Written and Oral Communication: The Case of Peer Response Groups","GL Nelson","New Directions for Teaching and Learning,",1997
"_aCnc0zHBEkJ","MACDAS: multi-level AND-OR circuit synthesis using two-variable function generators","T Sasao","Proceedings of the 23rd ACM/IEEE conference on Design  &hellip;,",1986
"_QlKEOvfU2MJ","Hypertext: An Introduction and Survey","J Conidin","IEEE Computer,",
"7ggq-jY7UEYJ","Adapting materialized views after renition","A Gupta, IS Mumick, KA Ross","Proceedings of ACM-SIGMOD,",
"km3WVXUGhhsJ","  quantitative analysis and performance study for similaritysearch methods in high-dimensional spaces ","R Weber","Proc. 24th Int. Conf. on Very Large",
"jvBTdbArrvkJ","An Annotated Bibliography on User Interface Design","B Fraser","SIGCHI Bulletin,",1989
"xQU9GXs4k50J","Fast nearest neighbor search in medical databases","F Korn, N Sidiropoulos, C Faloutsos, E Siegel, Z  ","Proc. Conf. Very Large Databases,",
"m3dGlRp9NeIJ","Detail and context smoothly integrated","P Wall","Proceedings of",
"Fir6kPDNKpQJ","The national cancer instituteâ??s thesaurus and ontology","J Golbeck, G Fragoso, F Hartel, J Hendler, B  ","Journal of Web Semantics,",2003
"9L3wJOAQIRMJ","An Optical Content-Addressable Parallel Processor for High-Speed Database Processing: Theoretical  ","A Louri, J Hatch Jr","IEEE",
"atP3ZdnSiHUJ","Pattern-matching and rewriting rules for group indexed data structures","JL Giavitto, O Michel, J Cohen",,
"o0ldV7AnrQYJ","The effect of fluctuations on the simplest parametric systems","VI Tikhonov","Avtomat. i Telemekh,",
"ylPZG8MhCAgJ","A second gene for Type I signal peptidase in Bradyrhizobium japonicum, sipF, is located near genes  ","A Bairl, P MÃ¼ller","Molecular Genetics and Genomics,",1998
"8-HpAN0xpjcJ","Estimating the Output Cardinality of Partial Preaggregation with a Measure of Clusteredness","S Helmer, T Neumann, G Moerkotte","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",2003
"C75BU_7R29wJ","Nordic co-ordinating system for environmental product declaration (type III)","OJ Hanssen, HK Stranddorf, M Vold, C SolÃ¨r, L  ",,
"_5AwpAuHFu8J","The University of Alberta user interface management system","M Green",,
"url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D271087%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222","Workshop on Workflow Management in Scientific and Engineering Applications - Report","R McClatchey, G Vossen","SIGMOD Record,",1997
"EkK2gZO_iE0J","Electrochemical and Solids-State Letters","ID Kim, MG Kim, JM Lee, T Kang, HJ Sohn",,
"s2cXdL41E4UJ","Towards object mapping in dynamic environments with mobile robots","R Biswas, B Limketkai, S Sanner, S Thrun","Submitted for publication,",
"og1PK9Js-EcJ","Asymmetric digital subscriber line technology-a basic overview","NG Cole","BT TECHNOLOGY JOURNAL,",1994
"3Lzo6p8X-n4J","ASSET: A System for Supporting Extended Transactions","A Biliris, S Dar, N Gehani, HV Jagadish, K  ","Proceedings of the ACM SIGMOD International Conference on  &hellip;,",1994
"mC4VCVw67PUJ","Panel: The effect of large main memory on database systems","D Bitton","Proceedings of the 1986 ACM SIGMOD international conference  &hellip;,",1986
"eIlrNljIEK8J","Como surgiram os data warehouses","PWA COSTA","Computerworld,",
"bW4OLaAXzpUJ","Improving the Effectiveness of a Web Site with Web Usage Mining","M Spiliopoulou, C Pohle, LC Faulstich","LECTURE NOTES IN COMPUTER SCIENCE,",2000
"Glp8A1GmTVsJ","k-ary n-trees: High performance networks for massively parallel architectures","F Petrini, M Vanneschi",,
"tYYtlq_is1kJ","A Time Bound on the Materialixation of Some Recursively Defined Views","YE Im851 Ioannidis","Proc. II thInternational VLDB Conference, Stockholm, Sweden, &hellip;,",
"latWwFEfpRIJ","Effects of atmospheric temperature and pressure on the performance of a vehicle","SMC Soares, JR SodrÃ©","Proceedings of the I MECH E Part D Journal of Automobile  &hellip;,",2002
"T9VjEDGaDrsJ","JP, 1957","FP Clarke","Phil. Mag,",
"rhP4i3RXSNoJ","Space Flight Dynamics Simulations Using Finite Element Analysis Results in Multibody Systems in:  ","O Wallrapp, D Sachau","Athens, Greece,",
"qsSoqBcToHMJ","Suppression of Neoclassical Tearing Modes in the Presence of Sawteeth Instabilitites by Radially  ","H LAâ?¦","Proc. 28th Euro. Conf. Contr. Fusion and Plasma Phys.,  &hellip;,",
"_dQfXnR75jgJ","The End of Education: Redefining the Value of School.","N Postman",,1995
"3wnB_pHzsBkJ","â??Inside Windows NT â??, Redmond, WA","H Custer",,1993
"doiDTg2x3hoJ","Developing Intellectual Competence at Empire State.","AW Chickering","New Directions in Higher Education,",1975
"lt31QTq71ioJ","Flora of Southern and Lower California: a Checklist of the Flowering Plants","CR Orcutt","San Diego, California,",
"x2W8uU-esfMJ","Insect Pathology: Academic Press","Y Tanada, HK Kaya","San Diego,",
"7SN95wCmfUwJ","Access Path Selection in a Relational Database Management System.&quot;","S PGâ?¦","Proceedings of the ACM SIGMOD Conference,",
"WKVTec2ruLcJ","A theory of bisimulation for the   -calculus","D Sangiorgi","LECTURE NOTES IN COMPUTER SCIENCE,",1993
"Q4lWCFvLE3wJ","Boundary layer growth on a spinning body: Accelerated motion","YD Wadhwa","Phil. Mag,",
"7qvaRJ23jTgJ","Phase II clinical study of RP56976 (docetaxel) in patients with carcinoma ovarii or carcinoma colli  ","K Noda, Y Terajima, Y Ogita, I Kono, K Hirabayashi ","Gan To Kagaku Ryoho,",1994
"AJkivTxxQD8J","Tropospheric radio propagation assessment","HV HITNEY, JH RICHTER, RA PAPPERT, KD ANDERSON, GB ","IEEE, Proceedings,",1985
"5s6fOcc1C60J","Data Engineering and Information Systems","RL Shuey, G Wiederhold","IEEE Computer,",
"g2a-s_ZYgl4J","Automated RF Test System for Digital Cellular Telephones","G Kent","Procs of the NEPCON",
"1vvdKgfmSl4J","Faltering from ethnography to design","JA Hughes, D Randall, D Shapiro","Proceedings of the 1992 ACM conference on Computer-supported &hellip;,",1992
"HVCQ2SUwI7oJ","Micros in the Special Ed classroom","D Loebl, J Kantrov","Electronic Learning,",
"_EbKUPc1jYAJ","Oracle Rdb's Record Caching Model","R Anderson, G Arun, R Frank",,
"PeQ_gIZnkkUJ","Schedule-dependent antitumor efficacy of irinotecan (CPT-11) and 5-Â£ fluorouracil (5-FU) in nude  ","U Vanhoefer, G Hapke, A Harstrick, W Achterrath,  ","Proceedings of the 23rd ESMO Congress. Ann Oncol,",
"nSclom29s78J","Anticipated life history qualitative scoringmanual","HG Segal, DK DeMeis, G Wood","Unpublished manuscript,",
"iLFLj3SIeccJ","Deciding properties of transactional schemas","S Abiteboul, V Vianu","Proceedings of the fifth ACM SIGACT-SIGMOD symposium on  &hellip;,",1985
"ybcHUz44bywJ","Psychological statistics","Q McNemar",,1962
"aPVVXpGyFKcJ","Attitudes, polarization, and diagnosticity: Exploring the effect of affect","CM Judd, JT Johnson","Journal of Personality and Social Psychology,",
"y6z7q1NTSq8J","BDI and BOID Argumentation","G Boella, L van der Torre",,
"CZ2rY0E79fEJ","Axiomatic Characterization of Structural Similarity for Case-Based Reasoning","D Matuschek, KP Jantke","Procs. of Florida AI Research Symposium, Florida AI Research &hellip;,",
"TBdnfqqLsLwJ","Prior leaning assessment: Critical self-reflection, and reentry womanâ??s development","J Droegkamp, K Taylor","New Directions for Adult and Continuing Education,",1995
"url:http://portal.acm.org/citation.cfm%3Fid%3D354384.354533%26dl%3DGUIDE%26dl%3DACM%26type%3Dseries%26idx%3DSERIES316%26part%3DProceedings%26WantType%3DProceedings%26title%3DInternational%2520Multimedia%2520Conference%26CFID%3D11111111%26CFTOKEN%3D2222222","Document ontology based personalized filtering system (poster session)","KS Choi, CH Lee, PK Rhee","Proceedings of the eighth ACM international conference on  &hellip;,",2000
"s5O2Mvf8OTsJ","Statement for VLDB Session 9: Distributed Data Bases, IV Int","M Edelberg","Conf. on VLDB Proceedings Supplement: Panelists&#39; Statements, &hellip;,",
"RIN0-tTiR28J","Allometry in primates, with emphasis on scaling and the evolution of the brain","SJ Gould","Contributions to Primatology,",1975
"u1z_-bSxFasJ","The Effects of Partner and Relationship Characteristics on Alliance Outcomes","T Saxton","The Academy of Management Journal,",1997
"HIsBB-kUYZIJ","Answering queries with aggregation using views","S Dar, HV Jagadish, AY Levy, D Srivastava","VLDB Conf., Bombay,",
"_s-2XLqSMjsJ","Structures with re-entrant corners","A Carpinteri, N Pugno","Procs. XV National Conference IGF,",
"3mnAsl4ebRsJ","SQL-GATE: Providing SQL Access to Network and Hierarchical Databases","P Larson","Demonstration in SIGMOD,",
"pGix0qZ6Uz4J","Revisiting Commit Processing in Distributed Database Systems","R Gupta, J Haritsa, K Ramamritham","SIGMOD Conference,",1997
"VlVV2mEnoQ4J","Join synopses for approximate query answering, ACM SIGMOD Int","S Acharaya, PB Gibbons, V Poosala, S Ramaswamy","Conference on Management of Data,",
"30cKya8rO2UJ","Using kd Trees to Improve the Retrieval Step in Case-Based Reasoning","S Wess, KD Althoff, G Derwand","LECTURE NOTES IN COMPUTER SCIENCE,",1994
"loz3KpVndVMJ","Protein Folding Triggered by Electron Transfer","F Triggers","Acc. Chem. Res,",1998
"8NBP4LK2zKgJ","Native XML Database Management Systems: The Survey","K Chatzinas, H Meng",,
"099yvZ-n4bIJ","Analysis and Design of Co-operative Work Process: A Framework","N Selmin","Information and Software Technology,",
"jDIELFcFe-8J","Ã¢â?¬ Å?Closed-form 2D angle estimation with rectangular arrays via DFT beamspace ESPRITÃ¢â?¬Â?","MD Zoltowski, M Haardt, CP Mathews","Proc. 28th Asilomar Conference on Signals, Systems, and ",
"Usknb5npFQEJ","Almost uniformity in stochastic modeling","R BERLIND","Unpublished manuscript,",
"U04OC6OSBT0J","ZOO: A Desktop Experiment Management Environment",", M Livny, S Gupta, N Ponnekanti","VLDB,",1996
"n7Di335eDh8J","The growth of mosses in two contrasting communities in the maritime Antarctic: measurement and  ","NJ Collins","See Ref,",
"XirELrPeTd4J","Change-centric management of versions in an XML warehouse In Proc. of the 27th VLDB","A Marian, S Abiteboul, G Cobena, L Mignet","Rome, Italy, Sep,",
"1zVBrfOgGpwJ","Comparing economic incentives in peer-to-peer networks","P Antoniadis, C Courcoubetis, R Mason","Computer Networks,",2004
"QsOudPxWZ5sJ","Lazy Incremental Learning of Control Knowledge for Efficiently Obtaining Quality Plans","D Borrajo, M Veloso","Artificial Intelligence Review,",1997
"O3O_MLgxH4UJ","Individual and Firm Heterogeneity in Compensation: An Analysis of Matched Longitudinal Employer- ","JM Abowd, F Kramarz",,
"PmIVKWJ5_V4J","Journal Relevance","R Snodgrass","SIGMOD RECORD,",2003
"uLiEqn5nA_IJ","An Efficient Bitmap Encoding Scheme for Selection Queries, SIGMOD 1999","C Chan, YE Ioannidis","Proceedings ACM SIGMOD International Conference on  &hellip;,",
"idzlYUIw_hwJ","How do mathematics teachers (inservice and preservice) perceive the concept of parabola","A Shriki, H David","Proceedings of the 25 thconference of the International  &hellip;,",
"QVDW9nJubnAJ","Database Security: Current Status and Key Issues","S Jajodia, RS Sandhu","SIGMOD Record,",
"z61T1n0BrQMJ","On Finding the Maxima of a Set of Vectors","HT Kung, F Luccio, FP Preparata","Journal of the ACM (JACM),",1975
"RPNF-k7mNloJ","PS z. ARIES: A Transaction Recovery Method Supporting Fine-Granularity Locking and P artial  ","C Mohan, D Haderle, B Lindsay, H Pirahesh","ACM TODS,",
"iDPJparH9N8J","The genesis of basaltic magmas","DH Green, AE Ringwood","Contributions to Mineralogy and Petrology,",1967
"1adtXXPxsagJ","Building malleable systems from software â??chips.â??","BJ Cox","Computerworld,",
"D16jy8-QGEEJ","Development of recruitment guidelines for agricultural teacher education in Indiana","JD Haak, AB Talbert","Proceedings of the 25 thAnnual National Agricultural  &hellip;,",
"BEfQp0ps6hgJ","Subclavian central venous catheterization complicated by guidewire looping and entrapment1","HE Wang, TA Sweeney","JOURNAL OF EMERGENCY MEDICINE,",1999
"i7NuQT_hlDYJ","PTI Environmental Services. 1991. Nutrients and Phytoplankton in Puget Sound. Prepared for US EPA","R Associates","Report 910/9-91-002. Seattle, Washington. 130",
"ktUMPWniVbEJ","Making Effective Presentations: Managing Design and Delivery.","JE Dominick","New Directions for Adult and Continuing Education,",1991
"WUDARdq_KhMJ","Large two-dimensional clusters of equal-area bubbles","SJ Cox, F Graner","Phil. Mag,",
"15Xnu2VYNAQJ","DyDa: Dynamic Data Warehouse Maintenance in a Fully Concurrent Environment","X Zhang, EA Rundensteiner",,
"8eigm6_SZGQJ","Oldenbourg. ca 70 e","TH Cormen, CE Leiserson, RL Rivest, C Stein, AE  ",,2004
"W6Cq9fawdxgJ","Compatible attributes in a universal relation","C Beeri, HF Korth","Proceedings of the 1st ACM SIGACT-SIGMOD symposium on  &hellip;,",1982
"9rbkZGL9yQwJ","TNF-alpha and IFN-gamma are overexpressed in the bone marrow of Fanconi anemia patients and TNF- ","C Dufour, A Corcione, J Svahn, R Haupt, V Poggi, R ","BLOOD-NEW YORK-,",2003
"ruTD2zN2CdsJ","Effective programs for children growing up in concentrated poverty","LB Schorr","See Huston,",
"T_l57RsXTqYJ","Reading to young children: Its significance for literacy development","WH Teale","Awakening to literacy,",
"t9PSBmfdNnIJ","Updating Relational Databases through Object-Based Views","T Barsalou, G Wiederhold",,
"nPUYk2ztDGEJ","Cultural Diversity's Impact on Interaction Process and Performance: Comparing Homogeneous and  ","WE Watson, K Kumar, LK Michaelsen","The Academy of Management Journal,",1993
"RlmNaz2t5iQJ","Integrating Data Mining with SQL Database: OLE DB fro Data Mining","A Netz, S Chaudhuri, U Fayyad, J Bernhardt","Microsoft",
"pOZLqf9A57kJ","A phased approach to the evaluation and selection of CASE tools","LA LeBlanc, WM Korn","Information and Software Technology,",
"eDyeowszlosJ","&quot; Michael Jackson World Tour:&quot; Maps and Globes--Latitude and Longitude.","GD Benscoter","Social Studies and the Young Learner,",1988
"rcK1bDP8TU4J","Probability on Trees and Networks","R Lyons, Y Peres",,
"fjL6b4OuDS0J","Criteria for the evaluation of text storage and retrieval software.","P Nieuwenhuysen","Electronic Library,",1988
"GUbvO3QNTXUJ","Faculty Satisfaction with Pay and Other Job Dimensions under Union and Nonunion Conditions","LR Gomez-Mejia, DB Balkin","The Academy of Management Journal,",1984
"0k9GimD7g9wJ","TOKEN COHERENCE","MMK Martin",,2003
"4zDGoqCAWOoJ","Y, Papakonstantinou, J. Ullmann, M. Valiveti, Capability Based Mediation in TSIMMIS","C Li, R Yerneni, V Vassalos, H Garcia-Molina","Proc. of ACM SIGMOD Conf.(Demonstration), Seattle,  &hellip;,",
"ixn4S0WcP5AJ","Running Microsoft Windows NT 4. 0 Server 4. 0","C Russel, S Crawford",,1997
"VJ51OvhObJEJ","The performance of current B-tree algorithms","T Johnson, D Shasha","ACM Transactions on Database Systems,",1993
"CxBli9tViBoJ","An amateurâ??s mtroductton to recurstve query pr ocesmg strategtes","F Bancdhon, R Rantalcnshnan","Proc ACM SIGMOD conf (1986) Also m FouWtotts of Dedttcttw ",
"ZIiw-26IbzcJ","Institutional Transformation for Multicultural Education: Bloomfield College and StNorbert College","MJ LaBarc, SG Lang","NEW DIRECTIONS FOR TEACHING AND LEARNING,",1993
"wMa4fMryrt0J","Clio: A semi-automatic tool for schema mapping, system demonstration","MA Hernandez, RJ Miller, L Haas, L Yan, CTH Ho, X  ","Proceedings of the ACM SIGMOD, May, Santa Barbara,  &hellip;,",
"9B_zuuJyou0J","Unique factorization theorem","P Mihok","DISCUSSIONES MATHEMATICAE GRAPH THEORY,",2000
"i5RYK3J_zC8J","Prefix B-trees","R Bayer, K Unterauer","ACM Transactions on Database Systems,",1977
"jid-5bmQu00J","Involving Commuter Students in Learning: Moving from Rhetoric to Reality","B Jacoby","New Directions for Higher Education,",2000
"jktHDj7_8kUJ","Trigonometrical Series, Wrsw, 1935","A ZYGMUND","UNIVERSITY OF",
"XpY2UPc6vP0J","A Unified Framework for Enforcing Multiple Access Control","S Jajodia, P Samarati, VS Subrahmanian, E Bertino","ACM SIGMOD International Conference on Management of",
"ipGZljWx6N8J","Scripting the Type Inference Process","B Heeren, J Hage, SD Swierstra",,
"EQSACxRS41QJ","Physical database design for relational databases","S Finkelstein, M Schkolnick, P Tiberio","ACM Transactions on Database Systems,",1988
"kooQijVBMscJ","Sleepers and Workaholics: Caching Strategies in Mobile Environments,Âº Very Large Databases J","D Barbara, T Imielinski",,1995
"url:http://www.csa.com/partners/viewrecord.php%3Frequester%3Dgs%26collection%3DTRD%26recid%3DN9210529AH","Fabrication of GaAs: MESFET's and test structures for electrical material characterization(Abstract  ","K WILKE, G HEYMANN, J VARRIO, M PESSA","Oulu Univ, Proceedings of the 25 th Annual Conference of the &hellip;,",1991
"Z9j3H11tc6IJ","Representing Time-Dependent Information in Multidimensional XML","T Mitakos, M Gergatsoulis, Y Stavrakas, EV  ","the Proceedings of the 23rd International Conference on ",
"HQPoS4JOhzAJ","Free ride on extranet express","C Stedman","Computerworld,",
"s_qLZjyTu6oJ","Computation of magnetostatic field using second order edge elements in 3D","Z Ren, N Ida","Electronic Engineering,",1999
"uPsxDW-gi3wJ","Collision risk analysis for HSC","J Urban, PT Pedersen, BC Simonsen","Technical University of Denmark,",
"WeJpOr9_28sJ","Transaction costs and convergence to an internationally diversified portfolio","PF Rowland",,
"uMutI8spj1QJ","NAOS-Efficient and Modular Reactive Capabilities in an Object-Oriented Database System","C Collet, T Coupaye, T Svensen","Proceedings of the 20th International Conference on Very  &hellip;,",1994
"Uu5oTUFVW6sJ","Incident Management Workshop","FH Administration","Demonstration Project No,",
"DZ9bjjJVU64J","Fellini: a low-cost storage server for movie on demand databases","B Ozden, A Biliris, R Rastogi, A Silberschatz","Proceedings of the 20th international conference on very  &hellip;,",
"cCo497nR3MoJ","Numerical and Experimental Study of the Wave Breaking Generated by a Submerged Hydrofoil","A Iafrati, A Olivieri, F Pistani, E Campana","Proceedings of the 23rd Symposium on Naval Hydrodynamics,  &hellip;,",
"wkYnPLYKWzgJ","Video tomography: an efficient method for camerawork extraction and motion analysis","A Akutsu, Y Tonomura","Proceedings of the second ACM international conference on  &hellip;,",1994
"dBRT-nBD1QAJ","MULTI-COORDINATION METHODS FOR PARALLEL SOLUTION OF BLOCK-ANGULAR PROGRAMS","G Zakeri",,1995
"XLeJQvZKYPkJ","Libraries: The People's University.","BR SISCO, DL WHITSON","New Directions for Adult and Continuing Education,",1990
"FKXBpXEgzDAJ","Corrosion problems solved by calcium nitrate","H Justncs","Proceedings of the 25 th Conference on Our World in Concrete &hellip;,",
"cWUHnVh90aEJ","Transportation and Technology: Solutions for Seattle.","RL Bertini","PSU Alumni Association Events, Seattle, Washington, April,",
"_XbdpOM-uKkJ","Account of some electrical experiments of M. De Nelis, of Malines in the Netherlands: with an  ","GJ Singer, A Crosse","Phil. Mag,",
"HxskERt_Fi8J","There are two critical sites in the V4 complex of the human brain for generating coloursÃ¶V4 and V4 ","A Bartels, S Zeki",,1998
"LkdR1lXXvnAJ","The use of extended Boolean logic in information retrieval","G Salton","Proceedings of the 1984 ACM SIGMOD international conference  &hellip;,",1984
"7WhRhYcLQJgJ","All-op tical wavelength conversion using cavity dumped fibre laser with nonlinear optic al loop  ","HK Lec, KH Kimâ?¦","Electronic",
"wH3muCCaPG4J","Considerations for the Preparation of SGML Document Type Definitions","SA Mamrak, JA Barnes",,
"ELLcvNrYtpwJ","M., Cole, R., and Goodrich, M.&quot; Cascading divide-and-conquer: a technique for designing parallel  ","ACG Atallah","Proc. 28th Annual IEEE Symposium on Foundations of Computer  &hellip;,",
"-LkIuXjsUlsJ","A Delay Analysis of Sender-and Receiver-Initiated Reliable Multicast Protocols","M Yamamoto, J Kurose, D Towsley, H Ikeda","Technical Report, Dept. of Computer Science, Univ. Massachusetts",
"i3qUVu6byQUJ","Position Paper: Children and HIV/AIDS: Responding To The Crisis","M Turok","Unpublished",
"GX8vrJRdcI8J","Normative systems","CE AlchourrÃ³n, E Bulygin",,1972
"gMIjXwZ7IBEJ","From Web Service Composition to Megaprogramming","C Pautasso, G Alonso","Proceedings of the 5th VLDB Workshop on Technologies for E-",
"iNp6OM8GywoJ","Internet Capers","C Levin","PC",
"HkBKH9ZUJEcJ","Online Association Rule Mining, SIGMOD 1999","C Hidber","Proceedings ACM SIGMOD International Conference on  &hellip;,",
"_JSiWidh_T8J","Non-invasive physical treatments for chronic/recurrent headache","G Bronfort, N Nilsson, M Haas, R Evans, CH  ","Cochrane Database Syst.",
"6q7lyCOAmN8J","Requirements Analysis for Community Supporting Platforms based on the Media Reference Model","K STANOEVSKA-SLABEVA","Electronic Markets,",2000
"L-VDHNIoHC4J","Supporting Knowledge-Base Evolution with Incremental Formalization",", R McCall",,
"5b-z2bNKZpwJ","Structure of nuclear power taking account of the production of energy other than electricity","AP Aleksandrov, VA Legasov, VA Sidorenkoâ?¦","At.",
"XdZMZpnPox4J","NDRL-NIST Solution Kinetics Database-Ver. 3, Notre Dame Radiation Laboratory, Notre Dame, IN and  ","AB Ross, WG Mallard, WP Helman, GV Buxton, RE Huie ","MD,",
"u8YkfaXHufAJ","Garlic, chives, shallot, and leek are alternative hosts to Xanthomonas campestris, the pathogen of  ","P Bowen, HA Gibbs, LW Oâ??Garro","Proc. Int. Congr. Plant Pathol,",
"WjDgwWnHHe4J","PAR-6 regulates aPKC activity in a novel way and mediates cell-cell contact-induced formation of the ","T Yamanaka, Y Horikoshi, A Suzuki, Y Sugiyama, K  ","Genes to Cells,",2001
"Hj3vyh0TJVsJ","OPTICS: Ordering Points To Identify the Clustering Structure","M Ankerst, MM Breunig, HP Kriegel, J Sander","SIGMOD Conference,",1999
"lXvZWGwKTaEJ","MbasaSoft GEDIT for Windows, v2. 5","N Antonsen",,1985
"vuhXoz-UTmkJ","Seismic aspects of dams, General Report Question 83: Seismic aspects of dams; International  ","M Wieland","Proc. 21 stCongress of ICOLD, Montreal, Canada, June,",
"hu3p6uGdgGMJ","Abstract multirate dynamic data-flow graph specification for high throughput communication link ASIC ","P Zepter, T Grotker","submitted for",
"0zqM6gIMkYgJ","Recursive estimation and time-series analysis: an introduction","P Young",,1984
"JYQAIo92STwJ","The ASM Ground Model Method as a Foundation for Requirements Engineering","E Borger","LECTURE NOTES IN COMPUTER SCIENCE,",2003
"rjZ4FojGFgUJ","Surgical pathology dissection: an illustrated guide","RH Hruban",,1995
"pw4iH8H8Pn0J","Exploiting Structural Information for Text Classification on the WWW","J Fuernkranz","LECTURE NOTES IN COMPUTER SCIENCE,",1999
"tC36qxRB808J","Panel: XML Data Management: Go Native or Spruce up Relational Systems","D Florescu, G Graefe, G Moerkotte, H Pirahesh, H  ","Proc. SIGMOD",
"ZohASYhKk08J","The Supply Chain","D Luckett","BT Technology Journal,",2004
"jNV3v-rKZEYJ","Rpc client: A pattern for the client-side implementation of a pipelined request/response protocol","M Heuser, EB Fernandez",,
"QzPjAHb-FQEJ","An evaluation of the ABR explicit-rate allocation interfering with the guaranteed services traffic","M Vojnovic, N Rozic","Computer Networks,",2000
"v3PAvIU5_44J","Arvind,* Zâ??: a Killer Micro for a Breve New World","RS Nikhil, GM Papadopoulos","Technical report, MIT Laboratory for Computer Science, July 1991",
"DctOud8Ly2QJ","Autopilot for Ship Control","CC Lim, W Forsythe","Proceedings of the IEE, Part D,",
"H5w0hzh1c14J","Microsoft. Net Passport Review Guide","M Corporations","Technical report, Available at www. microsoft. com,",
"7oZa2BNb7aAJ","Mathematical theory of nonlinear viscoelasticity","BE POBEDRIA","Uprugost&#39; i Neuprugost&#39;,",1973
"url:http://portal.acm.org/citation.cfm%3Fid%3D641006","Database research at UT Arlington","S Chakravarthy, A Aslandogan, R Elmasri, L Fegaras ","ACM SIGMOD Record,",2003
"p_pGeK-EU9MJ","Constructing Genetic Maps with Mapmaker/Exp 3.0. 3rd ed","S Lincoln, M Daly, E Lander",,1992
"hUlqQy3C6KAJ","An empirical analysis of the performance of a multiprocessor-based circuit simulator","GK Jacob, AR Newton, DO Pederson","Proceedings of the 23rd ACM/IEEE conference on Design  &hellip;,",1986
"mnimZZAQAgcJ","  Multiple Perspectives In a Collaborative Virtual Environment for Visualizing Scientific Data","KS Park, A Kapoor, J Leigh","Proceedings of ACM CVE,",2000
"IpCrwAAOSzcJ","The Contribution of Mental Maps in Perception Studies","DCD Pocock","Geography,",
"j0zEl2g8xAEJ","AMS and Ruskin HJ 1981","J Duarte","I.",
"wgZM52e3TFkJ","Population characteristics of Alaskan polar bears","JW Lentfer, RJ Hensel, JR Gilbert, FE Sorensen","International Conference on Bear Research and Management,",
"nI7NHzvBrw0J","How People's Interests Affect Empowerment Planning in a Health Promotion Coalition","TM Carter","NEW DIRECTIONS FOR ADULT AND CONTINUING EDUCATION,",1996
"gTO-SpQtBVEJ","The Galapagos ant fauna and the attributes of colonizing ant species","CRF Brandao, RVS Paiva","See Williams,",
"i-g72p6JCZcJ","A novel multiple-address digital communication system using chaotic systems","GH Bateni, CD Mcgillem, MF Tenorio","Proc. Int. Communication Conf,",
"6NBDemQboWwJ","Automatic RDF Metadata Generation for Resource Discovery","C Jenkins, M Jackson, P Burden, J Wallis","WWW8 / Computer Networks,",1999
"WIaFMcyMy8oJ","Morbidity and mortality of infants born before arrival at the hospital.","M Beeram, K Solarin, M Young","Journal of Emergency Medicine,",1996
"KURweqXQvqEJ","Share your data, keep your secrets","I Fundulaki, A Sahuguet",,
"yNT7u8jzXR8J","An Active Approach to Calculus","S Seltzer, S Hilbert, J Maceli, E Robinson, D  ","NEW DIRECTIONS FOR TEACHING AND LEARNING,",1996
"OL2WhVO5x0cJ","The strategy of the genes; a discussion of some aspects of theoretical biology.","CH Waddington",,1957
"0K4W0Tzv13EJ","Anti-fibrinolytic use for minimising perioperative allogeneic blood transfusion","DA Henry, AJ Moxey, PA Carless, DO'Connell, B  ","Cochrane Database Syst Rev,",2001
"ObT5pgGWCqAJ","An evaluation of processes that influence variability in abundance of a coral reef fish","JS Shima",,1999
"JOMiCZV-75wJ","Cash Flow Reporting and Financial Distress Models: Testing of Hypotheses","A Aziz, GH Lawson","Financial Management,",
"b1iRHeyN1A0J","Variational resolutions of non self-adjoint equations and dissipative evolutions,(2005)","N Ghoussoub, A Lagrangians",,
